,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
752,Jean-Luc Dompé,fr FRA,FWMF,Hamburger SV,de Bundesliga,29,1995,12.6,3,25,12,48,1.98,0.95,0.08,0.17,1,1,,
753,John Donald,es ESP,DFMF,Elche,es La Liga,24,2000,7.4,1,6,2,33.3,0.81,0.27,0.17,0.5,0,0,,
754,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26,1999,34,0,0,0,,0,0,,,0,0,,
755,Romelle Donovan,eng ENG,FW,Brentford,eng Premier League,18,2006,0.5,0,3,1,33.3,6.59,2.2,0,0,0,0,,
756,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,20,2004,16.1,4,25,11,44,1.55,0.68,0.16,0.36,0,0,,
757,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27,1998,25.1,0,14,3,21.4,0.56,0.12,0,0,0,0,,
758,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,26,1998,9.5,0,7,2,28.6,0.73,0.21,0,0,0,0,,
759,Lohann Doucet,bf BFA,MF,Paris FC,fr Ligue 1,22,2002,1.3,1,2,1,50,1.49,0.74,0.5,1,0,0,,
760,Fodé Doucouré,ml MLI,MFFW,Le Havre,fr Ligue 1,24,2001,13.8,3,20,8,40,1.45,0.58,0.15,0.38,0,0,,
761,Mamedi Doucouré,fr FRA,DF,Genoa,it Serie A,18,2007,0.1,0,0,0,,0,0,,,0,0,,
762,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20,2005,0.5,0,0,0,,0,0,,,0,0,,
763,Désiré Doué,fr FRA,FWMF,PSG,fr Ligue 1,20,2005,15,7,55,19,34.5,3.67,1.27,0.13,0.37,0,1,,
764,Guéla Doué,ci CIV,DFMF,Strasbourg,fr Ligue 1,22,2002,22.9,2,12,5,41.7,0.52,0.22,0.17,0.4,0,0,,
765,Ismaël Doukouré,fr FRA,DFMF,Strasbourg,fr Ligue 1,22,2003,23,0,7,3,42.9,0.3,0.13,0,0,0,0,,
766,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22,2003,19.4,5,43,14,32.6,2.21,0.72,0.12,0.36,0,0,,
767,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,25,1999,25.3,14,65,30,46.2,2.57,1.19,0.2,0.43,1,1,,
768,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28,1997,4.4,3,12,6,50,2.75,1.37,0.25,0.5,0,0,,
769,Max Dowman,eng ENG,MF,Arsenal,eng Premier League,15,2009,1.7,1,6,1,16.7,3.44,0.57,0.17,1,0,0,,
770,Damion Downs,us USA,FW,Hamburger SV,de Bundesliga,21,2004,6,0,7,4,57.1,1.18,0.67,0,0,0,0,,
771,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23,2002,5.7,0,4,0,0,0.7,0,0,,0,0,,
772,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,eng Premier League,16,2009,0.1,0,0,0,,0,0,,,0,0,,
773,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30,1995,32.5,1,13,4,30.8,0.4,0.12,0.08,0.25,0,0,,
774,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36,1989,35,0,0,0,,0,0,,,0,0,,
775,Denzel Dumfries,nl NED,MF,Inter,it Serie A,29,1996,14.7,3,23,5,21.7,1.56,0.34,0.13,0.6,0,0,,
776,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33,1991,31.5,1,23,3,13,0.73,0.1,0.04,0.33,0,0,,
777,Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,32,1993,8,0,0,0,,0,0,,,0,0,,
778,Pablo Durán,es ESP,FWMF,Celta Vigo,es La Liga,24,2001,15.8,2,37,15,40.5,2.34,0.95,0.05,0.13,0,0,,
779,Hugo Duro,es ESP,FW,Valencia,es La Liga,25,1999,22,10,36,14,38.9,1.64,0.64,0.25,0.64,1,2,,
780,Rafiu Durosinmi,ng NGA,FW,Pisa,it Serie A,22,2003,4.8,1,9,5,55.6,1.87,1.04,0.11,0.2,0,0,,
781,Paulo Dybala,ar ARG,MFFW,Roma,it Serie A,31,1993,15,2,43,18,41.9,2.86,1.2,0.05,0.11,0,1,,
782,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39,1986,2.7,0,4,1,25,1.48,0.37,0,0,0,0,,
783,Adam Dźwigała,pl POL,DF,St Pauli,de Bundesliga,29,1995,14.3,1,4,2,50,0.28,0.14,0.25,0.5,0,0,,
784,Aron Dønnum,no NOR,MF,Toulouse,fr Ligue 1,27,1998,26.9,4,40,14,35,1.49,0.52,0.03,0.07,3,3,,
785,George Earthy,eng ENG,MF,West Ham,eng Premier League,20,2004,0.1,0,0,0,,0,0,,,0,0,,
786,Younes Ebnoutalib,de GER,FW,Frankfurt,de Bundesliga,21,2003,1.5,1,5,2,40,3.38,1.35,0.2,0.5,0,0,,
787,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,20,2004,19.5,1,22,4,18.2,1.13,0.2,0.05,0.25,0,0,,
788,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26,1999,2.4,0,1,0,0,0.42,0,0,,0,0,,
789,Enzo Ebosse,cm CMR,DF,Torino,it Serie A,26,1999,12.4,0,0,0,,0,0,,,0,0,,
790,Claudio Echeverri,ar ARG,FWMF,Girona,es La Liga,19,2006,6.9,1,21,7,33.3,3.03,1.01,0.05,0.14,0,0,,
791,Claudio Echeverri,ar ARG,MF,Leverkusen,de Bundesliga,19,2006,1.5,0,1,0,0,0.67,0,0,,0,0,,
792,Noah Edjouma,fr FRA,FW,Toulouse,fr Ligue 1,19,2005,2.8,0,8,3,37.5,2.81,1.05,0,0,0,0,,
793,Noah Edjouma,fr FRA,MF,Lille,fr Ligue 1,19,2005,1,0,2,0,0,1.96,0,0,,0,0,,
794,Andrias Edmundsson,fo FRO,DF,Hellas Verona,it Serie A,24,2000,14.7,0,4,1,25,0.27,0.07,0,0,0,0,,
795,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27,1998,0,0,0,0,,0,0,,,0,0,,
796,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27,1998,20,12,60,31,51.7,3.01,1.55,0.18,0.35,1,1,,
797,Tom Edozie,eng ENG,MF,Wolves,eng Premier League,19,2006,0.2,1,2,1,50,12.86,6.43,0.5,1,0,0,,
798,Yannick Eduardo,cz CZE,FW,Hoffenheim,de Bundesliga,19,2006,0,0,0,0,,0,0,,,0,0,,
799,Alysson Edward,br BRA,MF,Aston Villa,eng Premier League,19,2006,0.5,0,1,0,0,1.84,0,0,,0,0,,
800,Marcus Edwards,eng ENG,MFFW,Burnley,eng Premier League,26,1998,11.9,1,23,6,26.1,1.94,0.51,0.04,0.17,0,0,,
801,CJ Egan-Riley,eng ENG,DFMF,Marseille,fr Ligue 1,22,2003,6.9,0,0,0,,0,0,,,0,0,,
802,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28,1996,34,3,44,13,29.5,1.29,0.38,0.07,0.23,0,0,,
803,Kingsley Ehizibue,nl NED,MFDF,Udinese,it Serie A,30,1995,20.1,2,9,2,22.2,0.45,0.1,0.22,1,0,0,,
804,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27,1997,2.2,0,3,1,33.3,1.35,0.45,0,0,0,0,,
805,Chidera Ejuke,ng NGA,MFFW,Sevilla,es La Liga,27,1998,10.4,1,23,3,13,2.22,0.29,0.04,0.33,0,0,,
806,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,26,1998,17.1,0,6,1,16.7,0.35,0.06,0,0,0,0,,
807,Jeff Ekhator,it ITA,FWMF,Genoa,it Serie A,18,2006,10.6,3,20,5,25,1.88,0.47,0.15,0.6,0,0,,
808,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23,2002,20,11,65,19,29.2,3.24,0.95,0.17,0.58,0,0,,
809,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25,2000,24.3,5,33,15,45.5,1.36,0.62,0.15,0.33,0,0,,
810,Jacques Ekomie,ga GAB,DFMF,Angers,fr Ligue 1,21,2003,24.9,0,12,3,25,0.48,0.12,0,0,0,0,,
811,Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,31,1994,11,4,29,10,34.5,2.63,0.91,0.14,0.4,0,0,,
812,Anthony Elanga,se SWE,FWMF,Newcastle,eng Premier League,23,2002,14.7,0,17,4,23.5,1.16,0.27,0,0,0,0,,
813,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28,1997,13.9,0,4,1,25,0.29,0.07,0,0,0,0,,
814,Unai Elgezabal,es ESP,DFMF,Levante,es La Liga,32,1993,10.6,1,3,1,33.3,0.28,0.09,0.33,1,0,0,,
815,Melker Ellborg,se SWE,GK,Sunderland,eng Premier League,22,2003,3,0,0,0,,0,0,,,0,0,,
816,Mikael Ellertsson,is ISL,MF,Genoa,it Serie A,23,2002,30.7,1,26,6,23.1,0.85,0.2,0.04,0.17,0,0,,
817,Harvey Elliott,eng ENG,FWMF,Liverpool,eng Premier League,22,2003,0,0,0,0,,0,0,,,0,0,,
818,Harvey Elliott,eng ENG,MF,Aston Villa,eng Premier League,22,2003,1.2,0,5,0,0,4.02,0,0,,0,0,,
819,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,25,1999,19.8,1,27,9,33.3,1.36,0.45,0.04,0.11,0,0,,
820,Nesta Elphege,fr FRA,FW,Parma,it Serie A,24,2001,3.4,2,6,3,50,1.75,0.87,0.33,0.67,0,0,,
821,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31,1994,8,0,4,2,50,0.5,0.25,0,0,0,0,,
822,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28,1996,33,0,9,0,0,0.27,0,0,,0,0,,
823,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28,1997,20.8,8,41,18,43.9,1.97,0.87,0.2,0.44,0,0,,
824,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22,2003,4.9,4,17,8,47.1,3.45,1.63,0.24,0.5,0,0,,
825,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21,2004,16.7,6,51,19,37.3,3.06,1.14,0.12,0.32,0,0,,
826,Julio Enciso,py PAR,MFFW,Strasbourg,fr Ligue 1,21,2004,20.9,3,61,22,36.1,2.92,1.05,0.03,0.09,1,1,,
827,Wataru Endo,jp JPN,DF,Liverpool,eng Premier League,32,1993,1.9,0,1,0,0,0.51,0,0,,0,0,,
828,Endrick,br BRA,FW,Real Madrid,es La Liga,19,2006,0.1,0,0,0,,0,0,,,0,0,,
829,Endrick,br BRA,FWMF,Lyon,fr Ligue 1,19,2006,13.5,5,50,26,52,3.7,1.93,0.08,0.15,1,1,,
830,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24,2001,27.6,2,21,5,23.8,0.76,0.18,0.1,0.4,0,0,,
831,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33,1992,26.8,3,38,14,36.8,1.42,0.52,0,0,3,4,,
832,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,29,1995,36,0,0,0,,0,0,,,0,0,,
833,Xavi Espart,es ESP,DF,Barcelona,es La Liga,18,2007,1.8,0,1,0,0,0.55,0,0,,0,0,,
834,Carlos Espí,es ESP,FW,Levante,es La Liga,20,2005,14.9,11,57,24,42.1,3.82,1.61,0.19,0.46,0,0,,
835,Alfonso Espino,uy URU,DFMF,Rayo Vallecano,es La Liga,33,1992,16.5,2,20,9,45,1.21,0.55,0.1,0.22,0,0,,
836,Francesco Esposito,it ITA,FW,Inter,it Serie A,20,2005,17.5,7,57,23,40.4,3.27,1.32,0.12,0.3,0,0,,
837,Sebastiano Esposito,it ITA,FWMF,Cagliari,it Serie A,23,2002,29.7,7,57,16,28.1,1.92,0.54,0.11,0.38,1,1,,
838,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,20,2005,0.5,0,0,0,,0,0,,,0,0,,
839,Samuel Essende,cd COD,MFFW,Augsburg,de Bundesliga,27,1998,4.6,1,17,4,23.5,3.7,0.87,0.06,0.25,0,0,,
840,Dario Essugo,pt POR,MF,Chelsea,eng Premier League,20,2005,0.3,0,0,0,,0,0,,,0,0,,
841,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19,2006,0.5,0,0,0,,0,0,,,0,0,,
842,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23,2002,32.6,0,10,1,10,0.31,0.03,0,0,0,0,,
843,Tomás Esteves,pt POR,DFMF,Pisa,it Serie A,23,2002,0.2,0,0,0,,0,0,,,0,0,,
844,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29,1995,11.7,0,9,1,11.1,0.77,0.09,0,0,0,0,,
845,Pervis Estupiñán,ec ECU,MF,Milan,it Serie A,27,1998,11.5,1,9,1,11.1,0.78,0.09,0.11,1,0,0,,
846,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,21,2003,2.8,1,7,3,42.9,2.46,1.05,0.14,0.33,0,0,,
847,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,21,2003,15.7,6,43,21,48.8,2.73,1.33,0.14,0.29,0,1,,
848,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25,1999,30.5,6,72,23,31.9,2.36,0.75,0.08,0.26,0,0,,
849,Edu Expósito,es ESP,MF,Espanyol,es La Liga,28,1996,28,1,44,13,29.5,1.57,0.46,0.02,0.08,0,0,,
850,Eberechi Eze,eng ENG,MFFW,Arsenal,eng Premier League,27,1998,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0,,
851,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27,1998,0.9,0,6,2,33.3,6.51,2.17,0,0,0,0,,
852,Abde Ezzalzouli,ma MAR,MFFW,Real Betis,es La Liga,23,2001,25,10,73,26,35.6,2.92,1.04,0.14,0.38,0,0,,
853,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22,2003,7.8,2,14,4,28.6,1.79,0.51,0.14,0.5,0,0,,
854,Giovanni Fabbian,it ITA,MF,Fiorentina,it Serie A,22,2003,5.2,0,7,2,28.6,1.35,0.38,0,0,0,0,,
855,Alieu Fadera,gm GAM,FW,Sassuolo,it Serie A,23,2001,11,2,13,4,30.8,1.19,0.36,0.15,0.5,0,0,,
856,Wout Faes,be BEL,DF,Monaco,fr Ligue 1,27,1998,12.7,0,5,1,20,0.39,0.08,0,0,0,0,,
857,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24,2001,28.4,2,33,7,21.2,1.16,0.25,0.06,0.29,0,0,,
858,Romain Faivre,fr FRA,MFFW,Auxerre,fr Ligue 1,27,1998,6.5,0,11,3,27.3,1.7,0.46,0,0,0,0,,
859,Omar Falah,es ESP,DF,Oviedo,es La Liga,21,2003,0.2,0,0,0,,0,0,,,0,0,,
860,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30,1995,38,0,0,0,,0,0,,,0,0,,
861,Ansu Fati,es ESP,MFFW,Monaco,fr Ligue 1,22,2002,12.1,11,43,24,55.8,3.54,1.98,0.19,0.33,3,4,,
862,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,20,2004,16,0,8,2,25,0.5,0.12,0,0,0,0,,
863,Jacopo Fazzini,it ITA,MFFW,Fiorentina,it Serie A,22,2003,6.5,0,9,1,11.1,1.39,0.15,0,0,0,0,,
864,Aleix Febas,es ESP,MF,Elche,es La Liga,29,1996,35.1,2,23,8,34.8,0.66,0.23,0.09,0.25,0,0,,
865,Mattia Felici,it ITA,MF,Cagliari,it Serie A,24,2001,4.6,2,9,6,66.7,1.97,1.31,0.22,0.33,0,0,,
866,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28,1997,5.2,0,3,1,33.3,0.57,0.19,0,0,0,0,,
867,Pedro Felipe,br BRA,DF,Sassuolo,it Serie A,21,2004,1.4,0,0,0,,0,0,,,0,0,,
868,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21,2004,3,0,0,0,,0,0,,,0,0,,
869,Robin Fellhauer,de GER,MF,Augsburg,de Bundesliga,27,1998,31.1,3,30,9,30,0.96,0.29,0.1,0.33,0,0,,
870,Kiko Femenía,es ESP,DFMF,Getafe,es La Liga,34,1991,22.3,1,8,3,37.5,0.36,0.13,0.13,0.33,0,0,,
871,Evan Ferguson,ie IRL,FW,Roma,it Serie A,20,2004,8.6,3,27,15,55.6,3.14,1.75,0.11,0.2,0,0,,
872,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25,1999,17.8,1,13,2,15.4,0.73,0.11,0.08,0.5,0,0,,
873,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30,1994,34,9,85,24,28.2,2.5,0.71,0.06,0.21,4,6,,
874,Mateus Fernandes,pt POR,MF,West Ham,eng Premier League,21,2004,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0,,
875,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34,1991,1.5,0,0,0,,0,0,,,0,0,,
876,Dro Fernández,es ESP,MF,Barcelona,es La Liga,17,2008,1,0,0,0,,0,0,,,0,0,,
877,Dro Fernández,es ESP,MF,PSG,fr Ligue 1,17,2008,7.6,1,9,3,33.3,1.19,0.4,0.11,0.33,0,0,,
878,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24,2001,34.6,10,72,31,43.1,2.08,0.9,0.11,0.26,2,2,,
879,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23,2002,10.9,0,11,1,9.1,1.01,0.09,0,0,0,0,,
880,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24,2001,8.4,0,2,0,0,0.24,0,0,,0,0,,
881,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22,2003,0.5,0,1,0,0,2,0,0,,0,0,,
882,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23,2002,26.5,7,59,23,39,2.23,0.87,0.1,0.26,1,1,,
883,Thiago Fernández,ar ARG,MFFW,Oviedo,es La Liga,21,2004,9.1,0,13,5,38.5,1.43,0.55,0,0,0,0,,
884,Toni Fernández,es ESP,FW,Barcelona,es La Liga,17,2008,0.5,0,0,0,,0,0,,,0,0,,
885,Matias Fernandez-Pardo,be BEL,FWMF,Lille,fr Ligue 1,20,2005,26.3,8,68,30,44.1,2.58,1.14,0.09,0.2,2,2,,
886,Álvaro Fidalgo,mx MEX,MF,Real Betis,es La Liga,28,1997,6,1,4,2,50,0.66,0.33,0.25,0.5,0,0,,
887,Seydou Fini,it ITA,FW,Genoa,it Serie A,19,2006,0.4,0,0,0,,0,0,,,0,0,,
888,Max Finkgräfe,de GER,DF,RB Leipzig,de Bundesliga,21,2004,5.6,1,4,2,50,0.71,0.36,0.25,0.5,0,0,,
889,Junior Firpo,do DOM,DF,Real Betis,es La Liga,28,1996,9.2,0,5,0,0,0.54,0,0,,0,0,,
890,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23,2001,26.2,0,0,0,,0,0,,,0,0,,
891,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24,2000,8.9,0,2,0,0,0.23,0,0,,0,0,,
892,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32,1993,23.7,0,0,0,,0,0,,,0,0,,
893,Zian Flemming,nl NED,FW,Burnley,eng Premier League,26,1998,19.7,11,52,21,40.4,2.65,1.07,0.17,0.43,2,2,,
894,Jack Fletcher,eng ENG,MF,Manchester Utd,eng Premier League,18,2007,1.2,0,1,0,0,0.83,0,0,,0,0,,
895,Tyler Fletcher,sct SCO,MF,Manchester Utd,eng Premier League,18,2007,0.2,0,0,0,,0,0,,,0,0,,
896,Romano Floriani,it ITA,MF,Cremonese,it Serie A,22,2003,13,0,5,1,20,0.39,0.08,0,0,0,0,,
897,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25,2000,23.2,7,55,19,34.5,2.37,0.82,0.13,0.37,0,0,,
898,Malick Fofana,be BEL,MFFW,Lyon,fr Ligue 1,20,2005,8.3,2,19,9,47.4,2.28,1.08,0.11,0.22,0,0,,
899,Rayan Fofana,fr FRA,FWMF,Lens,fr Ligue 1,19,2006,8.9,5,36,12,33.3,4.06,1.35,0.14,0.42,0,0,,
900,Sadik Fofana,tg TOG,MF,Lecce,it Serie A,22,2003,0.9,0,2,0,0,2.14,0,0,,0,0,,
901,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,30,1995,7.3,1,9,3,33.3,1.24,0.41,0.11,0.33,0,0,,
902,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24,2000,19.1,0,8,1,12.5,0.42,0.05,0,0,0,0,,
903,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26,1999,24.5,2,45,18,40,1.84,0.74,0.04,0.11,0,0,,
904,Jonas Föhrenbach,de GER,DFMF,Heidenheim,de Bundesliga,29,1996,25.8,1,6,1,16.7,0.23,0.04,0.17,1,0,0,,
905,Francesco Folino,it ITA,DF,Cremonese,it Serie A,23,2002,8,1,2,1,50,0.25,0.12,0.5,1,0,0,,
906,Michael Folorunsho,it ITA,MFFW,Cagliari,it Serie A,27,1998,22.2,2,36,9,25,1.62,0.41,0.06,0.22,0,0,,
907,Nicolas Fonseca,uy URU,MF,Oviedo,es La Liga,26,1998,11.3,0,8,1,12.5,0.71,0.09,0,0,0,0,,
908,Álex Forés,es ESP,FW,Oviedo,es La Liga,24,2001,4,0,8,2,25,2,0.5,0,0,0,0,,
909,Pablo Fornals,es ESP,MF,Real Betis,es La Liga,29,1996,31.6,9,43,18,41.9,1.36,0.57,0.21,0.5,0,0,,
910,Héctor Fort,es ESP,DFMF,Elche,es La Liga,18,2006,5.4,2,12,5,41.7,2.24,0.93,0.17,0.4,0,0,,
911,Niccolò Fortini,it ITA,MF,Fiorentina,it Serie A,19,2006,6,0,8,2,25,1.33,0.33,0,0,0,0,,
912,Fortuño,es ESP,GK,Espanyol,es La Liga,23,2001,1,0,0,0,,0,0,,,0,0,,
913,Lyle Foster,za RSA,FWMF,Burnley,eng Premier League,24,2000,15.2,3,20,6,30,1.31,0.39,0.15,0.5,0,0,,
914,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,32,1993,12.8,0,6,1,16.7,0.47,0.08,0,0,0,0,,
915,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27,1998,10.4,0,2,0,0,0.19,0,0,,0,0,,
916,Alejandro Francés,es ESP,DF,Girona,es La Liga,22,2002,12.4,0,16,4,25,1.29,0.32,0,0,0,0,,
917,Christian Frangella,it ITA,MF,Sassuolo,it Serie A,18,2006,0,0,0,0,,0,0,,,0,0,,
918,Przemysław Frankowski,pl POL,MFDF,Rennes,fr Ligue 1,30,1995,13.4,1,9,3,33.3,0.67,0.22,0.11,0.33,0,0,,
919,Davide Frattesi,it ITA,MF,Inter,it Serie A,25,1999,6.3,0,16,4,25,2.53,0.63,0,0,0,0,,
920,Oscar Fraulo,dk DEN,MF,Gladbach,de Bundesliga,21,2003,0.5,1,1,1,100,2.09,2.09,1,1,0,0,,
921,Tyler Fredricson,eng ENG,DF,Manchester Utd,eng Premier League,20,2005,0,0,0,0,,0,0,,,0,0,,
922,Alex Freeman,us USA,DF,Villarreal,es La Liga,20,2004,3.8,0,1,0,0,0.26,0,0,,0,0,,
923,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,24,2001,34.2,1,8,3,37.5,0.23,0.09,0.13,0.33,0,0,,
924,Martin Frese,dk DEN,MFDF,Hellas Verona,it Serie A,27,1998,26.8,2,21,11,52.4,0.78,0.41,0.1,0.18,0,0,,
925,Remo Freuler,ch SUI,MF,Bologna,it Serie A,33,1992,24.6,1,8,1,12.5,0.33,0.04,0.13,1,0,0,,
926,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,27,1998,28.3,1,8,2,25,0.28,0.07,0.13,0.5,0,0,,
927,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29,1995,1.7,0,0,0,,0,0,,,0,0,,
928,Jeremie Frimpong,nl NED,DFMF,Liverpool,eng Premier League,24,2000,11.6,0,10,2,20,0.87,0.17,0,0,0,0,,
929,Jorge de Frutos,es ESP,FWMF,Rayo Vallecano,es La Liga,28,1997,27.4,10,62,28,45.2,2.27,1.02,0.15,0.32,1,1,,
930,Chris Führich,de GER,MF,Stuttgart,de Bundesliga,27,1998,18.9,7,45,23,51.1,2.39,1.22,0.16,0.3,0,0,,
931,Joel Fujita,jp JPN,MF,St Pauli,de Bundesliga,23,2002,29.6,1,32,7,21.9,1.08,0.24,0.03,0.14,0,0,,
932,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,32,1993,4.5,0,9,3,33.3,1.98,0.66,0,0,0,0,,
933,Niclas Füllkrug,de GER,FW,Milan,it Serie A,32,1993,7.3,1,16,5,31.3,2.19,0.68,0.06,0.2,0,1,,
934,Alessio Furlanetto,it ITA,GK,Lazio,it Serie A,23,2002,2,0,0,0,,0,0,,,0,0,,
935,Kaye Furo,be BEL,FW,Brentford,eng Premier League,18,2007,0,0,0,0,,0,0,,,0,0,,
936,Matteo Gabbia,it ITA,DF,Milan,it Serie A,25,1999,28.1,0,19,3,15.8,0.68,0.11,0,0,0,0,,
937,Tiago Gabriel,pt POR,DF,Lecce,it Serie A,20,2004,35.8,2,20,4,20,0.56,0.11,0.1,0.5,0,0,,
938,Gianluca Gaetano,it ITA,MFFW,Cagliari,it Serie A,25,2000,21.2,2,34,11,32.4,1.6,0.52,0.06,0.18,0,0,,
939,Roberto Gagliardini,it ITA,MF,Hellas Verona,it Serie A,31,1994,25.2,1,15,3,20,0.59,0.12,0.07,0.33,0,0,,
940,Cody Gakpo,nl NED,MFFW,Liverpool,eng Premier League,26,1999,30.4,7,87,21,24.1,2.86,0.69,0.08,0.33,0,0,,
941,Javi Galán,es ESP,DF,Osasuna,es La Liga,30,1994,18.6,0,6,1,16.7,0.32,0.05,0,0,0,0,,
942,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,30,1994,1.5,0,0,0,,0,0,,,0,0,,
943,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,31,1993,24.5,1,20,2,10,0.82,0.08,0.05,0.5,0,0,,
944,Conor Gallagher,eng ENG,MF,Tottenham,eng Premier League,25,2000,13.2,1,11,4,36.4,0.84,0.3,0.09,0.25,0,0,,
945,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,25,2000,7.5,2,13,5,38.5,1.72,0.66,0.15,0.4,0,0,,
946,Antonino Gallo,it ITA,DF,Lecce,it Serie A,25,2000,34,0,6,1,16.7,0.18,0.03,0,0,0,0,,
947,Ignatius Ganago,cm CMR,FW,Nantes,fr Ligue 1,26,1999,9.3,3,23,7,30.4,2.47,0.75,0.09,0.29,1,1,,
948,Omri Gandelman,il ISR,MFFW,Lecce,it Serie A,25,2000,10.8,2,10,3,30,0.92,0.28,0.2,0.67,0,0,,
949,Ismaëlo Ganiou,fr FRA,DF,Lens,fr Ligue 1,20,2005,22.4,3,22,4,18.2,0.98,0.18,0.14,0.75,0,0,,
950,Ben Gannon-Doak,sct SCO,MF,Bournemouth,eng Premier League,19,2005,1.3,0,3,1,33.3,2.39,0.8,0,0,0,0,,
951,Facundo Garcés,my MAS,DF,Alavés,es La Liga,25,1999,8.8,0,8,4,50,0.91,0.45,0,0,0,0,,
